Order in file, Clean Question, Tagged Elements, Full Question
"4","Where did this story take place?","['<MARKABLE>story</MARKABLE>']","4.  Where did this <MARKABLE>story</MARKABLE> take place?"
"5","Why was John Brallier paid $10?","['<COREF ID=""204"" REF=""163""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""207"" REF=""206""><MARKABLE>', '</MARKABLE></COREF>']","5. Why was <COREF ID=""204"" REF=""163""><MARKABLE>John Brallier</MARKABLE></COREF> paid <COREF ID=""207"" REF=""206""><MARKABLE>$10</MARKABLE></COREF>?"
"1","Who will be able to see a rare sight?","['<COREF ID=""79"" REF=""78""><MARKABLE>', '</MARKABLE></COREF>']","1. Who will be able to see a rare <COREF ID=""79"" REF=""78""><MARKABLE>sight</MARKABLE></COREF>?"
"2","What will they be seeing?","['<MARKABLE>they</MARKABLE>']","2.  What will <MARKABLE>they</MARKABLE> be seeing?"
"3","When will this event happen again after tonight?","['<COREF ID=""51"" REF=""41""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""57"" REF=""55""><MARKABLE>', '</MARKABLE></COREF>']","3.  When will this <COREF ID=""51"" REF=""41""><MARKABLE>event</MARKABLE></COREF> happen again after <COREF ID=""57"" REF=""55""><MARKABLE>tonight</MARKABLE></COREF>?"
"4","Where is the earth in an eclipse of the moon?","['<COREF ID=""36"" REF=""24""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""52"" REF=""41""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""22"" REF=""13""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where is the <COREF ID=""36"" REF=""24""><MARKABLE>earth</MARKABLE></COREF> in an <COREF ID=""52"" REF=""41""><MARKABLE>eclipse</MARKABLE></COREF> of the <COREF ID=""22"" REF=""13""><MARKABLE>moon</MARKABLE></COREF>?"
"5","Why will the moon have a ring of color?","['<COREF ID=""23"" REF=""13""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""73"" REF=""67""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""75"" REF=""74""><MARKABLE>', '</MARKABLE></COREF>']","5. Why will the <COREF ID=""23"" REF=""13""><MARKABLE>moon</MARKABLE></COREF> have a <COREF ID=""73"" REF=""67""><MARKABLE>ring</MARKABLE></COREF> of <COREF ID=""75"" REF=""74""><MARKABLE>color</MARKABLE></COREF>?"
"1","Who upset the French citizens?","['<COREF ID=""112"" REF=""86""><MARKABLE>', '</MARKABLE></COREF>']","1. Who upset the French <COREF ID=""112"" REF=""86""><MARKABLE>citizens</MARKABLE></COREF>?"
"2","What did the French people do in 1789?","['<COREF ID=""113"" REF=""86""><MARKABLE>', '</MARKABLE></COREF>', '<MARKABLE>1789</MARKABLE>']","2. What did the French <COREF ID=""113"" REF=""86""><MARKABLE>people</MARKABLE></COREF> do in <MARKABLE>1789</MARKABLE>?"
"3","When do the French celebrate their freedom?","['<COREF ID=""114"" REF=""99""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""115"" REF=""99""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""137"" REF=""135""><MARKABLE>', '</MARKABLE></COREF>']","3. When do the <COREF ID=""114"" REF=""99""><MARKABLE>French</MARKABLE></COREF> celebrate <COREF ID=""115"" REF=""99""><MARKABLE>their</MARKABLE></COREF> <COREF ID=""137"" REF=""135""><MARKABLE>freedom</MARKABLE></COREF>?"
"4","Where did the people take the king and queen?","['<COREF ID=""116"" REF=""86""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""111"" REF=""108""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""138"" REF=""118""><MARKABLE>', '</MARKABLE></COREF>']","4. Where did the <COREF ID=""116"" REF=""86""><MARKABLE>people</MARKABLE></COREF> take the <COREF ID=""111"" REF=""108""><MARKABLE>king</MARKABLE></COREF> and <COREF ID=""138"" REF=""118""><MARKABLE>queen</MARKABLE></COREF>?"
"5","Why were the French people unhappy?","['<COREF ID=""117"" REF=""86""><MARKABLE>', '</MARKABLE></COREF>']","5. Why were the French <COREF ID=""117"" REF=""86""><MARKABLE>people</MARKABLE></COREF> unhappy?"
"1","Who heard the crew's cry for help?","['<COREF ID=""182"" REF=""163""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""183"" REF=""166""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""185"" REF=""184""><MARKABLE>', '</MARKABLE></COREF>']","1. Who heard the <COREF ID=""182"" REF=""163""><MARKABLE>crew</MARKABLE></COREF>'s <COREF ID=""183"" REF=""166""><MARKABLE>cry</MARKABLE></COREF> for <COREF ID=""185"" REF=""184""><MARKABLE>help</MARKABLE></COREF>?"
"2","What is the name of the ship?","['<COREF ID=""196"" REF=""195""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""157"" REF=""140""><MARKABLE>', '</MARKABLE></COREF>']","2. What is the <COREF ID=""196"" REF=""195""><MARKABLE>name</MARKABLE></COREF> of the <COREF ID=""157"" REF=""140""><MARKABLE>ship</MARKABLE></COREF>?"
"3","When did the ship sink?","['<COREF ID=""158"" REF=""140""><MARKABLE>', '</MARKABLE></COREF>']","3. When did the <COREF ID=""158"" REF=""140""><MARKABLE>ship</MARKABLE></COREF> sink?"
"4","Where did the ship sink?","['<COREF ID=""159"" REF=""140""><MARKABLE>', '</MARKABLE></COREF>']","4. Where did the <COREF ID=""159"" REF=""140""><MARKABLE>ship</MARKABLE></COREF> sink?"
"5","Why did the ship sink?","['<COREF ID=""160"" REF=""140""><MARKABLE>', '</MARKABLE></COREF>']","5. Why did the <COREF ID=""160"" REF=""140""><MARKABLE>ship</MARKABLE></COREF> sink?"
"1","Who will take part in four talks on TV?","['<COREF ID=""221"" REF=""197""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""222"" REF=""213""><MARKABLE>', '</MARKABLE></COREF>']","1. Who will take part in four <COREF ID=""221"" REF=""197""><MARKABLE>talks</MARKABLE></COREF> on <COREF ID=""222"" REF=""213""><MARKABLE>TV</MARKABLE></COREF>?"
"2","What are these talks being called?","['<COREF ID=""234"" REF=""197""><MARKABLE>', '</MARKABLE></COREF>']","2. What are these <COREF ID=""234"" REF=""197""><MARKABLE>talks</MARKABLE></COREF> being called?"
"3","When will people vote?","['<COREF ID=""233"" REF=""205""><MARKABLE>', '</MARKABLE></COREF>']","3. When will <COREF ID=""233"" REF=""205""><MARKABLE>people</MARKABLE></COREF> vote?"
"4","Where will the two men stand?","['<COREF ID=""235"" REF=""207""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where will the two <COREF ID=""235"" REF=""207""><MARKABLE>men</MARKABLE></COREF> stand?"
"5","Why are these debates being held?","['<COREF ID=""236"" REF=""197""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why are these <COREF ID=""236"" REF=""197""><MARKABLE>debates</MARKABLE></COREF> being held?"
"1","Who has a foolish idea?","['<COREF ID=""277"" REF=""273""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who has a foolish <COREF ID=""277"" REF=""273""><MARKABLE>idea</MARKABLE></COREF>?"
"2","What is his idea?","['<COREF ID=""255"" REF=""237""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""278"" REF=""273""><MARKABLE>', '</MARKABLE></COREF>']","2.  What is <COREF ID=""255"" REF=""237""><MARKABLE>his</MARKABLE></COREF> <COREF ID=""278"" REF=""273""><MARKABLE>idea</MARKABLE></COREF>?"
"3","When did Goddard get a patent?","['<COREF ID=""256"" REF=""237""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""294"" REF=""285""><MARKABLE>', '</MARKABLE></COREF>']","3.  When did <COREF ID=""256"" REF=""237""><MARKABLE>Goddard</MARKABLE></COREF> get a <COREF ID=""294"" REF=""285""><MARKABLE>patent</MARKABLE></COREF>?"
"4","Where does Goddard think his rocket could go?","['<COREF ID=""257"" REF=""237""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""258"" REF=""237""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""293"" REF=""259""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where does <COREF ID=""257"" REF=""237""><MARKABLE>Goddard</MARKABLE></COREF> think <COREF ID=""258"" REF=""237""><MARKABLE>his</MARKABLE></COREF> <COREF ID=""293"" REF=""259""><MARKABLE>rocket</MARKABLE></COREF> could go?"
"5","Why is this a silly idea?","['<COREF ID=""291"" REF=""273""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""292"" REF=""273""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why is <COREF ID=""291"" REF=""273""><MARKABLE>this</MARKABLE></COREF> a silly <COREF ID=""292"" REF=""273""><MARKABLE>idea</MARKABLE></COREF>?"
"1","Who played a joke on shoppers?","['<COREF ID=""45"" REF=""44""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""47"" REF=""46""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who played a <COREF ID=""45"" REF=""44""><MARKABLE>joke</MARKABLE></COREF> on <COREF ID=""47"" REF=""46""><MARKABLE>shoppers</MARKABLE></COREF>?"
"2","What does the Sears ad offer?","['<COREF ID=""11"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""26"" REF=""18""><MARKABLE>', '</MARKABLE></COREF>']","2.  What does the <COREF ID=""11"" REF=""1""><MARKABLE>Sears</MARKABLE></COREF> <COREF ID=""26"" REF=""18""><MARKABLE>ad</MARKABLE></COREF> offer?"
"3","When did Sears play this joke?","['<COREF ID=""12"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""50"" REF=""44""><MARKABLE>', '</MARKABLE></COREF>']","3.  When did <COREF ID=""12"" REF=""1""><MARKABLE>Sears</MARKABLE></COREF> play this <COREF ID=""50"" REF=""44""><MARKABLE>joke</MARKABLE></COREF>?"
"4","Where is the word ""miniature""?","['<COREF ID=""52"" REF=""51""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""17"" REF=""14""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where is the <COREF ID=""52"" REF=""51""><MARKABLE>word</MARKABLE></COREF> ""<COREF ID=""17"" REF=""14""><MARKABLE>miniature</MARKABLE></COREF>""?"
"5","Why did Sears play this joke?","['<COREF ID=""13"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""49"" REF=""44""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why did <COREF ID=""13"" REF=""1""><MARKABLE>Sears</MARKABLE></COREF> play this <COREF ID=""49"" REF=""44""><MARKABLE>joke</MARKABLE></COREF>?"
"1","Who drilled the first oil well?","['<COREF ID=""80"" REF=""60""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""100"" REF=""93""><MARKABLE>', '</MARKABLE></COREF>']","1. Who drilled the first <COREF ID=""80"" REF=""60""><MARKABLE>oil</MARKABLE></COREF> <COREF ID=""100"" REF=""93""><MARKABLE>well</MARKABLE></COREF>?"
"2","What  use did rock oil have in the 1830's?","['<COREF ID=""103"" REF=""101""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""81"" REF=""60""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""99"" REF=""98""><MARKABLE>', '</MARKABLE></COREF>']","2.  What  use did <COREF ID=""103"" REF=""101""><MARKABLE>rock</MARKABLE></COREF> <COREF ID=""81"" REF=""60""><MARKABLE>oil</MARKABLE></COREF> have in the <COREF ID=""99"" REF=""98""><MARKABLE>1830's</MARKABLE></COREF>?"
"3","When did this story take place?","['<MARKABLE>story</MARKABLE>']","3.  When did this <MARKABLE>story</MARKABLE> take place?"
"4","Where did the men find oil?","['<COREF ID=""59"" REF=""53""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""82"" REF=""60""><MARKABLE>', '</MARKABLE></COREF>']","4. Where did the <COREF ID=""59"" REF=""53""><MARKABLE>men</MARKABLE></COREF> find <COREF ID=""82"" REF=""60""><MARKABLE>oil</MARKABLE></COREF>?"
"5","Why will this oil be useful?","['<COREF ID=""83"" REF=""60""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why will this <COREF ID=""83"" REF=""60""><MARKABLE>oil</MARKABLE></COREF> be useful?"
"1","Who started the Pigeon Express?","['<MARKABLE>Pigeon</MARKABLE>', '<COREF ID=""24"" REF=""17""><MARKABLE>', '</MARKABLE></COREF>']","1. Who started the <MARKABLE>Pigeon</MARKABLE> <COREF ID=""24"" REF=""17""><MARKABLE>Express</MARKABLE></COREF>?"
"2","What is the Pigeon Express?","['<MARKABLE>Pigeon</MARKABLE>', '<COREF ID=""25"" REF=""17""><MARKABLE>', '</MARKABLE></COREF>']","2. What is the <MARKABLE>Pigeon</MARKABLE> <COREF ID=""25"" REF=""17""><MARKABLE>Express</MARKABLE></COREF>?"
"3","When did he start the Pigeon Express?","['<COREF ID=""14"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>', '<MARKABLE>Pigeon</MARKABLE>', '<COREF ID=""26"" REF=""17""><MARKABLE>', '</MARKABLE></COREF>']","3.  When did <COREF ID=""14"" REF=""1""><MARKABLE>he</MARKABLE></COREF> start the <MARKABLE>Pigeon</MARKABLE> <COREF ID=""26"" REF=""17""><MARKABLE>Express</MARKABLE></COREF>?"
"4","Where does Craig get his news?","['<COREF ID=""15"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""16"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""60"" REF=""36""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where does <COREF ID=""15"" REF=""1""><MARKABLE>Craig</MARKABLE></COREF> get <COREF ID=""16"" REF=""1""><MARKABLE>his</MARKABLE></COREF> <COREF ID=""60"" REF=""36""><MARKABLE>news</MARKABLE></COREF>?"
"5","Why is this a fast way to get the news?","['<COREF ID=""57"" REF=""17""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""58"" REF=""17""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""59"" REF=""36""><MARKABLE>', '</MARKABLE></COREF>']","5. Why is <COREF ID=""57"" REF=""17""><MARKABLE>this</MARKABLE></COREF> a fast <COREF ID=""58"" REF=""17""><MARKABLE>way</MARKABLE></COREF> to get the <COREF ID=""59"" REF=""36""><MARKABLE>news</MARKABLE></COREF>?"
"1","Who almost died building the bridge?","['<COREF ID=""76"" REF=""67""><MARKABLE>', '</MARKABLE></COREF>']","1. Who almost died building the <COREF ID=""76"" REF=""67""><MARKABLE>bridge</MARKABLE></COREF>?"
"2","What is the name of the bridge?","['<MARKABLE>name</MARKABLE>', '<COREF ID=""77"" REF=""67""><MARKABLE>', '</MARKABLE></COREF>']","2. What is the <MARKABLE>name</MARKABLE> of the <COREF ID=""77"" REF=""67""><MARKABLE>bridge</MARKABLE></COREF>?"
"3","When did the bridge open?","['<COREF ID=""78"" REF=""67""><MARKABLE>', '</MARKABLE></COREF>']","3. When did the <COREF ID=""78"" REF=""67""><MARKABLE>bridge</MARKABLE></COREF> open?"
"4","Where will President Arthur go after the bridge opens?","['<COREF ID=""103"" REF=""86""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""79"" REF=""67""><MARKABLE>', '</MARKABLE></COREF>']","4. Where will <COREF ID=""103"" REF=""86""><MARKABLE>President Arthur</MARKABLE></COREF> go after the <COREF ID=""79"" REF=""67""><MARKABLE>bridge</MARKABLE></COREF> opens?"
"5","Why did Roebling almost die?","['<COREF ID=""104"" REF=""88""><MARKABLE>', '</MARKABLE></COREF>']","5. Why did <COREF ID=""104"" REF=""88""><MARKABLE>Roebling</MARKABLE></COREF> almost die?"
"1","Who died in July of 1865?","['<COREF ID=""194"" REF=""193""><MARKABLE>', '</MARKABLE></COREF>']","1. Who died in <COREF ID=""194"" REF=""193""><MARKABLE>July of 1865</MARKABLE></COREF>?"
"2","What was Dr. Barry's secret?","['<COREF ID=""174"" REF=""147""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""198"" REF=""188""><MARKABLE>', '</MARKABLE></COREF>']","2. What was <COREF ID=""174"" REF=""147""><MARKABLE>Dr. Barry</MARKABLE></COREF>'s <COREF ID=""198"" REF=""188""><MARKABLE>secret</MARKABLE></COREF>?"
"3","When did James Barry become a doctor?","['<COREF ID=""175"" REF=""147""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""178"" REF=""147""><MARKABLE>', '</MARKABLE></COREF>']","3. When did <COREF ID=""175"" REF=""147""><MARKABLE>James Barry</MARKABLE></COREF> become a <COREF ID=""178"" REF=""147""><MARKABLE>doctor</MARKABLE></COREF>?"
"4","Where did Dr. Barry treat wounded soldiers?","['<COREF ID=""176"" REF=""147""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""191"" REF=""190""><MARKABLE>', '</MARKABLE></COREF>']","4. Where did <COREF ID=""176"" REF=""147""><MARKABLE>Dr. Barry</MARKABLE></COREF> treat wounded <COREF ID=""191"" REF=""190""><MARKABLE>soldiers</MARKABLE></COREF>?"
"5","Why did Dr. Barry keep the secret?","['<COREF ID=""177"" REF=""147""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""199"" REF=""188""><MARKABLE>', '</MARKABLE></COREF>']","5. Why did <COREF ID=""177"" REF=""147""><MARKABLE>Dr. Barry</MARKABLE></COREF> keep the <COREF ID=""199"" REF=""188""><MARKABLE>secret</MARKABLE></COREF>?"
"1","Who had the idea for ""railroad time""?","['<COREF ID=""147"" REF=""146""><MARKABLE>', '</MARKABLE></COREF>', '<MARKABLE>railroad</MARKABLE>', '<COREF ID=""139"" REF=""130""><MARKABLE>', '</MARKABLE></COREF>']","1. Who had the <COREF ID=""147"" REF=""146""><MARKABLE>idea</MARKABLE></COREF> for ""<MARKABLE>railroad</MARKABLE> <COREF ID=""139"" REF=""130""><MARKABLE>time</MARKABLE></COREF>""?"
"2","What will the railroads do to their clocks?","['<COREF ID=""140"" REF=""115""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""141"" REF=""115""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""142"" REF=""118""><MARKABLE>', '</MARKABLE></COREF>']","2. What will the <COREF ID=""140"" REF=""115""><MARKABLE>railroads</MARKABLE></COREF> do to <COREF ID=""141"" REF=""115""><MARKABLE>their</MARKABLE></COREF> <COREF ID=""142"" REF=""118""><MARKABLE>clocks</MARKABLE></COREF>?"
"3","When will they do this?","['<COREF ID=""143"" REF=""115""><MARKABLE>', '</MARKABLE></COREF>', '<MARKABLE>this</MARKABLE>']","3. When will <COREF ID=""143"" REF=""115""><MARKABLE>they</MARKABLE></COREF> do <MARKABLE>this</MARKABLE>?"
"4","Where is the time four minutes earlier than in Chicago?","['<MARKABLE>time</MARKABLE>', '<MARKABLE>minutes</MARKABLE>', '<COREF ID=""127"" REF=""122""><MARKABLE>', '</MARKABLE></COREF>']","4. Where is the <MARKABLE>time</MARKABLE> four <MARKABLE>minutes</MARKABLE> earlier than in <COREF ID=""127"" REF=""122""><MARKABLE>Chicago</MARKABLE></COREF>?"
"5","Why does Allen want to have fixed times?","['<COREF ID=""148"" REF=""137""><MARKABLE>', '</MARKABLE></COREF>', '<MARKABLE>times</MARKABLE>']","5. Why does <COREF ID=""148"" REF=""137""><MARKABLE>Allen</MARKABLE></COREF> want to have fixed <MARKABLE>times</MARKABLE>?"
"1","What is causing automatic garage doors to open and close on their own?","['<COREF ID=""33"" REF=""26""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""34"" REF=""26""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""35"" REF=""26""><MARKABLE>', '</MARKABLE></COREF>']","1. What is causing automatic garage <COREF ID=""33"" REF=""26""><MARKABLE>doors</MARKABLE></COREF> to open and close on <COREF ID=""34"" REF=""26""><MARKABLE>their</MARKABLE></COREF> <COREF ID=""35"" REF=""26""><MARKABLE>own</MARKABLE></COREF>?"
"2","What are these storms called?","['<COREF ID=""36"" REF=""7""><MARKABLE>', '</MARKABLE></COREF>']","2.  What are these <COREF ID=""36"" REF=""7""><MARKABLE>storms</MARKABLE></COREF> called?"
"3","When was the last time these storms happened?","['<MARKABLE>time</MARKABLE>', '<COREF ID=""37"" REF=""7""><MARKABLE>', '</MARKABLE></COREF>']","3.  When was the last <MARKABLE>time</MARKABLE> these <COREF ID=""37"" REF=""7""><MARKABLE>storms</MARKABLE></COREF> happened?"
"4","Where is the sun (how far from Earth)?","['<COREF ID=""6"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""40"" REF=""23""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where is the <COREF ID=""6"" REF=""1""><MARKABLE>sun</MARKABLE></COREF> (how far from <COREF ID=""40"" REF=""23""><MARKABLE>Earth</MARKABLE></COREF>)?"
"5","Why are these storms not all bad?","['<COREF ID=""41"" REF=""7""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why are these <COREF ID=""41"" REF=""7""><MARKABLE>storms</MARKABLE></COREF> not all bad?"
"1","Who is having a problem with pests?","['<MARKABLE>problem</MARKABLE>', '<COREF ID=""75"" REF=""49""><MARKABLE>', '</MARKABLE></COREF>']","1. Who is having a <MARKABLE>problem</MARKABLE> with <COREF ID=""75"" REF=""49""><MARKABLE>pests</MARKABLE></COREF>?"
"2","What are these mosquitoes doing?","['<COREF ID=""76"" REF=""49""><MARKABLE>', '</MARKABLE></COREF>']","2.  What are these <COREF ID=""76"" REF=""49""><MARKABLE>mosquitoes</MARKABLE></COREF> doing?"
"3","When will they die?","['<COREF ID=""77"" REF=""49""><MARKABLE>', '</MARKABLE></COREF>']","3.  When will <COREF ID=""77"" REF=""49""><MARKABLE>they</MARKABLE></COREF> die?"
"4","Where must the people stay to avoid the mosquitoes?","['<COREF ID=""78"" REF=""68""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""79"" REF=""49""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where must the <COREF ID=""78"" REF=""68""><MARKABLE>people</MARKABLE></COREF> stay to avoid the <COREF ID=""79"" REF=""49""><MARKABLE>mosquitoes</MARKABLE></COREF>?"
"5","Why did this problem happen?","['<MARKABLE>problem</MARKABLE>']","5.  Why did this <MARKABLE>problem</MARKABLE> happen?"
"1","Who had a town named for him?","['<COREF ID=""54"" REF=""33""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""55"" REF=""30""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who had a <COREF ID=""54"" REF=""33""><MARKABLE>town</MARKABLE></COREF> named for <COREF ID=""55"" REF=""30""><MARKABLE>him</MARKABLE></COREF>?"
"2","What is a company town?","['<COREF ID=""56"" REF=""36""><MARKABLE>', '</MARKABLE></COREF>']","2.  What is a company <COREF ID=""56"" REF=""36""><MARKABLE>town</MARKABLE></COREF>?"
"3","When was the first company town built?","['<COREF ID=""57"" REF=""18""><MARKABLE>', '</MARKABLE></COREF>']","3. When was the first company <COREF ID=""57"" REF=""18""><MARKABLE>town</MARKABLE></COREF> built?"
"4","Where is the newest company town?","['<COREF ID=""67"" REF=""58""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where is the newest company <COREF ID=""67"" REF=""58""><MARKABLE>town</MARKABLE></COREF>?"
"5","Why can company towns be bad?","['<COREF ID=""68"" REF=""36""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why can company <COREF ID=""68"" REF=""36""><MARKABLE>towns</MARKABLE></COREF> be bad?"
"1","Who is giving away free land?","['<COREF ID=""111"" REF=""77""><MARKABLE>', '</MARKABLE></COREF>']","1. Who is giving away free <COREF ID=""111"" REF=""77""><MARKABLE>land</MARKABLE></COREF>?"
"2","What is the name of the new law?","['<COREF ID=""114"" REF=""113""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""112"" REF=""69""><MARKABLE>', '</MARKABLE></COREF>']","2.  What is the <COREF ID=""114"" REF=""113""><MARKABLE>name</MARKABLE></COREF> of the new <COREF ID=""112"" REF=""69""><MARKABLE>law</MARKABLE></COREF>?"
"3","When will the land be totally yours?","['<COREF ID=""115"" REF=""98""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""96"" REF=""82""><MARKABLE>', '</MARKABLE></COREF>']","3.  When will the <COREF ID=""115"" REF=""98""><MARKABLE>land</MARKABLE></COREF> be totally <COREF ID=""96"" REF=""82""><MARKABLE>yours</MARKABLE></COREF>?"
"4","Where will many people live until they can afford lumber?","['<COREF ID=""116"" REF=""106""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""117"" REF=""106""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""119"" REF=""118""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where will many <COREF ID=""116"" REF=""106""><MARKABLE>people</MARKABLE></COREF> live until <COREF ID=""117"" REF=""106""><MARKABLE>they</MARKABLE></COREF> can afford <COREF ID=""119"" REF=""118""><MARKABLE>lumber</MARKABLE></COREF>?"
"5","Why will you probably need to build a windmill?","['<COREF ID=""97"" REF=""82""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""121"" REF=""120""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why will <COREF ID=""97"" REF=""82""><MARKABLE>you</MARKABLE></COREF> probably need to build a <COREF ID=""121"" REF=""120""><MARKABLE>windmill</MARKABLE></COREF>?"
"1","Who has made a safety brake?","['<COREF ID=""42"" REF=""26""><MARKABLE>', '</MARKABLE></COREF>']","1. Who has made a safety <COREF ID=""42"" REF=""26""><MARKABLE>brake</MARKABLE></COREF>?"
"2","What is the name of the invention that takes the place of stairs?","['<MARKABLE>name</MARKABLE>', '<COREF ID=""43"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""46"" REF=""44""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""47"" REF=""45""><MARKABLE>', '</MARKABLE></COREF>']","2. What is the <MARKABLE>name</MARKABLE> of the <COREF ID=""43"" REF=""1""><MARKABLE>invention</MARKABLE></COREF> that takes the <COREF ID=""46"" REF=""44""><MARKABLE>place</MARKABLE></COREF> of <COREF ID=""47"" REF=""45""><MARKABLE>stairs</MARKABLE></COREF>?"
"3","When did this story take place?","['<MARKABLE>story</MARKABLE>']","3. When did this <MARKABLE>story</MARKABLE> take place?"
"4","Where do people stand in an elevator?","['<COREF ID=""48"" REF=""9""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""49"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>']","4. Where do <COREF ID=""48"" REF=""9""><MARKABLE>people</MARKABLE></COREF> stand in an <COREF ID=""49"" REF=""1""><MARKABLE>elevator</MARKABLE></COREF>?"
"5","Why were some people afraid to ride the elevator?","['<COREF ID=""52"" REF=""51""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""50"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>']","5. Why were some <COREF ID=""52"" REF=""51""><MARKABLE>people</MARKABLE></COREF> afraid to ride the <COREF ID=""50"" REF=""1""><MARKABLE>elevator</MARKABLE></COREF>?"
"1","Who has the world's tallest building named after him?","['<COREF ID=""93"" REF=""92""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""94"" REF=""59""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""95"" REF=""79""><MARKABLE>', '</MARKABLE></COREF>']","1. Who has the <COREF ID=""93"" REF=""92""><MARKABLE>world</MARKABLE></COREF>'s tallest <COREF ID=""94"" REF=""59""><MARKABLE>building</MARKABLE></COREF> named after <COREF ID=""95"" REF=""79""><MARKABLE>him</MARKABLE></COREF>?"
"2","What is Woolworth's?","['<COREF ID=""96"" REF=""66""><MARKABLE>', '</MARKABLE></COREF>']","2.  What is <COREF ID=""96"" REF=""66""><MARKABLE>Woolworth's</MARKABLE></COREF>?"
